equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Clube de Regatas do Flamengo,2020,Brasil,152.2,2.8185185185185184,22.5,54,6,964.0,Fase de Grupos,Octavos de Final
Sociedade Esportiva Palmeiras,2020,Brasil,104.55,1.8342105263157895,22.6,57,8,964.0,Fase de Grupos,Campeón
Club Atlético River Plate,2020,Argentina,136.23,3.7841666666666662,25.2,36,7,603.0,Fase de Grupos,Semifinales
Club Atlético Boca Juniors,2020,Argentina,105.53,2.705897435897436,24.6,39,6,603.0,Fase de Grupos,Semifinales
Grêmio Foot-Ball Porto Alegrense,2020,Brasil,106.6,2.1319999999999997,24.8,50,5,964.0,Fase de Grupos,Cuartos de Final
São Paulo Futebol Clube,2020,Brasil,77.13,1.641063829787234,22.9,47,6,964.0,Fase de Grupos,Fase de Grupos
Sport Club Corinthians Paulista,2020,Brasil,94.85,1.6937499999999999,23.8,56,7,964.0,Fase 2,Fase 2
Sport Club Internacional,2020,Brasil,59.9,1.3613636363636363,24.0,44,9,964.0,Fase 2,Octavos de Final
Santos FC,2020,Brasil,54.85,0.9972727272727273,22.4,55,6,964.0,Fase de Grupos,Final
Club Athletico Paranaense,2020,Brasil,40.73,0.8146,23.2,50,3,964.0,Fase de Grupos,Octavos de Final
Racing Club,2020,Argentina,49.25,1.2960526315789473,25.5,38,7,603.0,Fase de Grupos,Cuartos de Final
Club Libertad Asunción,2020,Paraguay,23.55,0.7136363636363636,25.9,33,8,610.5,Fase de Grupos,Cuartos de Final
Defensa y Justicia,2020,Argentina,42.75,0.7916666666666666,22.6,54,5,603.0,Fase de Grupos,Fase de Grupos
Club Cerro Porteño,2020,Paraguay,19.95,0.43369565217391304,24.2,46,8,610.5,Fase 2,Fase 3
CA Peñarol,2020,Uruguay,17.85,0.42500000000000004,24.7,42,6,381.0,Fase de Grupos,Fase de Grupos
Junior de Barranquilla,2020,Colombia,25.73,0.83,26.2,31,2,552.0,Fase de Grupos,Fase de Grupos
CD Universidad Católica,2020,Chile,14.2,0.3641025641025641,23.9,39,7,365.0,Fase de Grupos,Fase de Grupos
Club Olimpia Asunción,2020,Paraguay,20.18,0.5045,26.5,40,9,610.5,Fase de Grupos,Fase de Grupos
Deportes Tolima,2020,Colombia,23.13,0.7228125,24.6,32,3,552.0,Fase 2,Fase 3
Club Nacional,2020,Uruguay,12.95,0.3083333333333333,21.9,42,7,381.0,Fase de Grupos,Cuartos de Final
Independiente del Valle,2020,Ecuador,14.9,0.3547619047619048,22.0,42,8,579.5,Fase de Grupos,Octavos de Final
CD América de Cali,2020,Colombia,20.23,0.5323684210526316,23.7,38,5,552.0,Fase de Grupos,Fase de Grupos
LDU Quito,2020,Ecuador,20.83,0.5951428571428571,24.2,35,8,579.5,Fase de Grupos,Octavos de Final
Barcelona SC Guayaquil,2020,Ecuador,17.75,0.4797297297297297,24.6,37,7,579.5,Fase 1,Fase de Grupos
CSD Colo Colo,2020,Chile,19.85,0.4616279069767442,24.4,43,8,365.0,Fase de Grupos,Fase de Grupos
Club Atlético Tucumán,2020,Argentina,13.3,0.40303030303030307,24.9,33,0,603.0,Fase 2,Fase 3
Universidad de Chile,2020,Chile,9.5,0.296875,23.7,32,8,365.0,Fase 2,Fase 2
Independiente Medellín,2020,Colombia,15.2,0.38,22.7,40,6,552.0,Fase 2,Fase 3
Club Guaraní,2020,Paraguay,19.23,0.5655882352941176,23.5,34,11,610.5,Fase 1,Octavos de Final
Bolívar La Paz,2020,Bolivia,15.15,0.38846153846153847,23.8,39,10,293.0,Fase de Grupos,Fase de Grupos
CD Palestino,2020,Chile,10.98,0.2967567567567568,24.3,37,7,365.0,Fase 2,Fase 3
Delfín SC,2020,Ecuador,15.2,0.44705882352941173,25.4,34,8,579.5,Fase de Grupos,Octavos de Final
Club Atlético Tigre,2020,Argentina,9.24,0.3696,26.5,25,0,603.0,Fase de Grupos,Fase de Grupos
The Strongest La Paz,2020,Bolivia,4.65,0.1660714285714286,26.3,28,6,293.0,Fase 2,Fase 2
Club Sporting Cristal,2020,Perú,8.5,0.265625,22.1,32,6,290.0,Fase 2,Fase 2
Universitario de Deportes,2020,Perú,8.8,0.303448275862069,23.8,29,5,290.0,Fase 1,Fase 2
Club Alianza Lima,2020,Perú,9.5,0.27941176470588236,24.3,34,7,290.0,Fase de Grupos,Fase de Grupos
Club Jorge Wilstermann ,2020,Bolivia,10.93,0.3312121212121212,27.3,33,9,293.0,Fase de Grupos,Octavos de Final
CD Macará,2020,Ecuador,9.95,0.32096774193548383,25.4,31,8,579.5,Fase 2,Fase 2
Cerro Largo FC,2020,Uruguay,5.93,0.16027027027027027,23.5,37,5,381.0,Fase 2,Fase 2
Caracas FC,2020,Venezuela,7.3,0.1825,21.6,40,2,187.0,Fase de Grupos,Fase de Grupos
Deportivo Binacional,2020,Perú,8.28,0.25875,26.6,32,6,290.0,Fase de Grupos,Fase de Grupos
Club Atlético Progreso,2020,Uruguay,4.95,0.13026315789473686,24.1,38,3,381.0,Fase 1,Fase 1
Deportivo Táchira,2020,Venezuela,4.95,0.1546875,22.7,32,3,187.0,Fase 2,Fase 2
Estudiantes de Mérida,2020,Venezuela,5.35,0.1445945945945946,22.6,37,5,187.0,Fase de Grupos,Fase de Grupos
Carabobo FC,2020,Venezuela,3.73,0.09564102564102564,22.2,39,1,187.0,Fase 1,Fase 1
Club Deportivo San José Oruro,2020,Bolivia,0.575,0.024999999999999998,26.5,23,4,293.0,Fase 1,Fase 1
Clube de Regatas do Flamengo,2019,Brasil,120.05,2.667777777777778,23.7,45,7,1165.0,Fase de Grupos,Campeón
Sociedade Esportiva Palmeiras,2019,Brasil,138.85,2.892708333333333,26.1,48,4,1165.0,Fase de Grupos,Cuartos de Final
Club Atlético River Plate,2019,Argentina,148.25,3.3693181818181817,24.7,44,8,776.0,Fase de Grupos,Final
Clube Atlético Mineiro,2019,Brasil,58.98,1.1564705882352941,24.2,51,7,1165.0,Fase 2,Fase de Grupos
Club Atlético Boca Juniors,2019,Argentina,144.0,2.526315789473684,24.1,57,11,776.0,Fase de Grupos,Semifinales
Grêmio Foot-Ball Porto Alegrense,2019,Brasil,90.75,1.7794117647058822,23.5,51,2,1165.0,Fase de Grupos,Semifinales
São Paulo Futebol Clube,2019,Brasil,97.0,1.6724137931034482,22.6,58,4,1165.0,Fase 2,Fase 2
Sport Club Internacional,2019,Brasil,69.5,1.4787234042553192,24.7,47,8,1165.0,Fase de Grupos,Cuartos de Final
Club Athletico Paranaense,2019,Brasil,45.25,0.8872549019607843,22.7,51,6,1165.0,Fase de Grupos,Octavos de Final
Club Atlético Talleres,2019,Argentina,59.25,1.0042372881355932,22.0,59,11,776.0,Fase 2,Fase 3
Club Libertad Asunción,2019,Paraguay,16.15,0.43648648648648647,24.1,37,6,755.5,Fase 2,Octavos de Final
Club Atlético San Lorenzo de Almagro,2019,Argentina,92.9,1.5745762711864408,24.3,59,5,776.0,Fase de Grupos,Octavos de Final
Club Deportivo Godoy Cruz Antonio Tomba,2019,Argentina,41.05,0.612686567164179,22.6,67,10,776.0,Fase de Grupos,Octavos de Final
Club Cerro Porteño,2019,Paraguay,18.13,0.46487179487179486,24.9,39,10,755.5,Fase de Grupos,Cuartos de Final
Atlético Nacional,2019,Colombia,30.88,0.6054901960784314,22.5,51,5,849.0,Fase 2,Fase 3
CA Peñarol,2019,Uruguay,25.2,0.5478260869565217,23.7,46,5,447.0,Fase de Grupos,Fase de Grupos
Club Atlético Rosario Central,2019,Argentina,31.0,0.5961538461538461,24.1,52,8,776.0,Fase de Grupos,Fase de Grupos
Junior de Barranquilla,2019,Colombia,31.43,0.7483333333333333,25.1,42,6,849.0,Fase de Grupos,Fase de Grupos
CD Universidad Católica,2019,Chile,19.65,0.5954545454545455,24.7,33,7,361.5,Fase de Grupos,Fase de Grupos
Club Olimpia Asunción,2019,Paraguay,20.5,0.5694444444444444,26.8,36,6,755.5,Fase de Grupos,Octavos de Final
Deportes Tolima,2019,Colombia,28.7,0.7972222222222222,24.6,36,7,849.0,Fase de Grupos,Fase de Grupos
Club Nacional,2019,Uruguay,18.5,0.4625,24.3,40,6,447.0,Fase de Grupos,Octavos de Final
Club Atlético Huracán,2019,Argentina,23.35,0.4096491228070176,24.1,57,7,776.0,Fase de Grupos,Fase de Grupos
LDU Quito,2019,Ecuador,25.65,0.57,23.0,45,6,686.0,Fase de Grupos,Cuartos de Final
Barcelona SC Guayaquil,2019,Ecuador,26.45,0.6297619047619047,24.7,42,7,686.0,Fase 2,Fase 2
Universidad de Chile,2019,Chile,16.2,0.4909090909090909,24.9,33,7,361.5,Fase 2,Fase 2
CS Emelec,2019,Ecuador,22.23,0.6008108108108108,25.1,37,7,686.0,Fase de Grupos,Octavos de Final
Independiente Medellín,2019,Colombia,26.43,0.6006818181818182,23.3,44,2,849.0,Fase 2,Fase 2
