equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Clube Atlético Mineiro,2020,Brasil,75.33,1.3451785714285713,23.3,56,10,964.0,Fase 1,Fase 1
São Paulo Futebol Clube,2020,Brasil,77.13,1.641063829787234,22.9,47,6,964.0,Fase 2,Fase 2
Club Atlético Vélez Sarsfield,2020,Argentina,75.23,1.928974358974359,22.8,39,5,603.0,Fase 1,Semifinales
Club Atlético Lanús,2020,Argentina,46.78,1.4175757575757577,21.8,33,2,603.0,Fase 1,Final
Fluminense Football Club,2020,Brasil,39.43,0.7731372549019607,23.3,51,3,964.0,Fase 1,Fase 1
Club Atlético Independiente,2020,Argentina,51.18,1.3123076923076924,23.8,39,6,603.0,Fase 1,Cuartos de Final
Asociación Atlética Argentinos Juniors,2020,Argentina,35.33,0.9548648648648648,25.0,37,4,603.0,Fase 1,Fase 1
Club de Regatas Vasco da Gama,2020,Brasil,42.05,0.9141304347826086,23.5,46,5,964.0,Fase 1,Octavos de Final
Defensa y Justicia,2020,Argentina,42.75,0.7916666666666666,22.6,54,5,603.0,Fase 2,Campeón
Esporte Clube Bahia,2020,Brasil,32.83,0.6194339622641509,23.6,53,1,964.0,Fase 1,Cuartos de Final
Atlético Nacional,2020,Colombia,21.4,0.5944444444444444,23.4,36,3,552.0,Fase 1,Fase 2
CA Peñarol,2020,Uruguay,17.85,0.42500000000000004,24.7,42,6,381.0,Fase 2,Fase 2
Fortaleza Esporte Clube,2020,Brasil,18.23,0.43404761904761907,25.6,42,3,964.0,Fase 1,Fase 1
Junior de Barranquilla,2020,Colombia,25.73,0.83,26.2,31,2,552.0,Fase 2,Cuartos de Final
CD Universidad Católica,2020,Chile,14.2,0.3641025641025641,23.9,39,7,365.0,Fase 2,Cuartos de Final
Deportes Tolima,2020,Colombia,23.13,0.7228125,24.6,32,3,552.0,Fase 2,Fase 2
Millonarios FC,2020,Colombia,22.85,0.6347222222222223,24.1,36,5,552.0,Fase 1,Fase 1
Club Atlético Huracán,2020,Argentina,18.85,0.4960526315789474,23.2,38,3,603.0,Fase 1,Fase 1
Atletico River Plate Montevideo,2020,Uruguay,7.18,0.1889473684210526,23.5,38,1,381.0,Fase 1,Octavos de Final
Club Atlético Tucumán,2020,Argentina,13.3,0.40303030303030307,24.9,33,0,603.0,Fase 2,Fase 2
CS Emelec,2020,Ecuador,14.2,0.47333333333333333,24.4,30,7,579.5,Fase 1,Fase 2
Club Atlético Unión,2020,Argentina,11.13,0.3975,23.5,28,1,603.0,Fase 1,Octavos de Final
Deportivo Cali,2020,Colombia,14.68,0.43176470588235294,22.7,34,2,552.0,Fase 1,Octavos de Final
Goiás Esporte Clube,2020,Brasil,24.6,0.37846153846153846,23.1,65,7,964.0,Fase 1,Fase 1
Bolívar La Paz,2020,Bolivia,15.15,0.38846153846153847,23.8,39,10,293.0,Fase 2,Octavos de Final
Unión La Calera,2020,Chile,9.2,0.27878787878787875,23.7,33,8,365.0,Fase 1,Octavos de Final
CD Universidad Católica,2020,Ecuador,11.75,0.3790322580645161,23.4,31,7,579.5,Fase 1,Fase 1
Club Always Ready,2020,Bolivia,3.18,0.11357142857142857,27.5,28,6,293.0,Fase 1,Fase 1
Liverpool FC Montevideo,2020,Uruguay,6.1,0.16052631578947368,22.3,38,2,381.0,Fase 1,Fase 2
Audax Italiano,2020,Chile,7.45,0.2328125,23.1,32,6,365.0,Fase 1,Fase 2
Club Deportivo Huachipato,2020,Chile,7.98,0.266,21.9,30,9,365.0,Fase 1,Fase 2
Club Sol de América,2020,Paraguay,6.2,0.1409090909090909,24.4,44,12,610.5,Fase 1,Fase 2
Asociación Deportivo Pasto,2020,Colombia,11.73,0.3783870967741936,25.9,31,3,552.0,Fase 1,Fase 1
Club Nacional Asunción,2020,Paraguay,3.13,0.06659574468085107,23.7,47,2,610.5,Fase 1,Fase 1
FBC Melgar,2020,Perú,8.95,0.2887096774193548,23.3,31,5,290.0,Fase 1,Fase 2
Club Deportivo Oriente Petrolero,2020,Bolivia,2.93,0.07512820512820513,21.7,39,7,293.0,Fase 1,Fase 1
SD Aucas,2020,Ecuador,13.8,0.372972972972973,25.1,37,12,579.5,Fase 1,Fase 1
Sport Huancayo,2020,Perú,5.2,0.1793103448275862,27.3,29,7,290.0,Fase 1,Octavos de Final
Club Plaza Colonia,2020,Uruguay,6.48,0.15069767441860465,22.7,43,8,381.0,Fase 1,Fase 2
Caracas FC,2020,Venezuela,7.3,0.1825,21.6,40,2,187.0,Fase 2,Fase 2
CA Fénix,2020,Uruguay,6.9,0.17692307692307693,24.3,39,7,381.0,Fase 1,Octavos de Final
Cusco FC,2020,Perú,5.88,0.17294117647058824,24.6,34,5,290.0,Fase 1,Fase 1
CA Nacional Potosí,2020,Bolivia,1.78,0.059333333333333335,26.2,30,6,293.0,Fase 1,Fase 1
Sportivo Luqueño,2020,Paraguay,4.1,0.0732142857142857,23.7,56,12,610.5,Fase 1,Fase 2
Coquimbo Unido,2020,Chile,6.43,0.18911764705882353,24.9,34,8,365.0,Fase 1,Semifinales
Blooming Santa Cruz,2020,Bolivia,2.65,0.0828125,23.6,32,6,293.0,Fase 1,Fase 1
Aragua FC,2020,Venezuela,4.98,0.14647058823529413,22.6,34,3,187.0,Fase 1,Fase 1
Club Atlético Grau,2020,Perú,6.18,0.17166666666666666,23.8,36,4,290.0,Fase 1,Fase 1
River Plate Asunción,2020,Paraguay,4.25,0.10625,25.8,40,8,610.5,Fase 1,Fase 1
Zamora FC,2020,Venezuela,4.68,0.14181818181818182,22.4,33,2,187.0,Fase 1,Fase 1
Estudiantes de Mérida,2020,Venezuela,5.35,0.1445945945945946,22.6,37,5,187.0,Fase 2,Fase 2
Mineros de Guayana,2020,Venezuela,4.43,0.11972972972972973,24.7,37,2,187.0,Fase 1,Fase 1
CD El Nacional,2020,Ecuador,8.8,0.24444444444444446,25.3,36,0,579.5,Fase 1,Fase 1
Llaneros de Guanare EF,2020,Venezuela,2.38,0.0661111111111111,22.3,36,4,187.0,Fase 1,Fase 1
Clube Atlético Mineiro,2019,Brasil,58.98,1.1564705882352941,24.2,51,7,1165.0,Fase 2,Semifinales
Sport Club Corinthians Paulista,2019,Brasil,89.25,1.7163461538461537,23.6,52,5,1165.0,Fase 1,Semifinales
Santos FC,2019,Brasil,107.05,2.019811320754717,23.4,53,8,1165.0,Fase 1,Fase 1
Fluminense Football Club,2019,Brasil,68.1,1.2160714285714285,23.0,56,2,1165.0,Fase 1,Cuartos de Final
Club Atlético Independiente,2019,Argentina,66.08,1.2467924528301886,24.1,53,10,776.0,Fase 1,Cuartos de Final
Racing Club,2019,Argentina,80.13,1.25203125,23.5,64,10,776.0,Fase 1,Fase 1
Club Atlético Colón,2019,Argentina,49.05,0.981,24.3,50,8,776.0,Fase 1,Final
Asociación Atlética Argentinos Juniors,2019,Argentina,44.05,0.8311320754716981,24.2,53,8,776.0,Fase 1,Octavos de Final
Defensa y Justicia,2019,Argentina,50.5,0.6158536585365854,23.4,82,11,776.0,Fase 1,Fase 1
Esporte Clube Bahia,2019,Brasil,44.7,1.0642857142857143,25.0,42,1,1165.0,Fase 1,Fase 1
Atlético Nacional,2019,Colombia,30.88,0.6054901960784314,22.5,51,5,849.0,Fase 2,Fase 2
CA Peñarol,2019,Uruguay,25.2,0.5478260869565217,23.7,46,5,447.0,Fase 2,Octavos de Final
Botafogo de Futebol e Regatas,2019,Brasil,37.15,0.8443181818181817,23.5,44,3,1165.0,Fase 1,Octavos de Final
CD Universidad Católica,2019,Chile,19.65,0.5954545454545455,24.7,33,7,361.5,Fase 2,Fase 2
Deportes Tolima,2019,Colombia,28.7,0.7972222222222222,24.6,36,7,849.0,Fase 2,Fase 2
Independiente del Valle,2019,Ecuador,11.55,0.28170731707317076,21.6,41,8,686.0,Fase 1,Campeón
CSD Colo Colo,2019,Chile,14.7,0.459375,25.1,32,8,361.5,Fase 1,Fase 1
Atletico River Plate Montevideo,2019,Uruguay,7.83,0.23727272727272727,23.3,33,1,447.0,Fase 1,Fase 2
Club Atlético Unión,2019,Argentina,22.68,0.42792452830188676,23.0,53,5,776.0,Fase 1,Fase 1
Deportivo Cali,2019,Colombia,27.18,0.6177272727272727,22.3,44,4,849.0,Fase 1,Fase 2
Associação Chapecoense de Futebol,2019,Brasil,32.7,0.6411764705882353,25.6,51,2,1165.0,Fase 1,Fase 1
Club Guaraní,2019,Paraguay,5.83,0.14219512195121953,24.3,41,10,755.5,Fase 1,Fase 1
Unión Española,2019,Chile,11.28,0.3317647058823529,22.8,34,8,361.5,Fase 1,Fase 2
CD La Equidad Seguros SA,2019,Colombia,14.95,0.3833333333333333,23.7,39,6,849.0,Fase 1,Cuartos de Final
Once Caldas,2019,Colombia,16.9,0.4333333333333333,24.4,39,1,849.0,Fase 1,Fase 1
Unión La Calera,2019,Chile,15.58,0.5193333333333333,24.2,30,10,361.5,Fase 1,Fase 2
CD Palestino,2019,Chile,10.03,0.2710810810810811,23.7,37,9,361.5,Fase 2,Fase 2
Club de Deportes Antofagasta,2019,Chile,12.65,0.3953125,24.9,32,9,361.5,Fase 1,Fase 1
CD Universidad Católica,2019,Ecuador,12.05,0.30125,22.1,40,7,686.0,Fase 1,Octavos de Final
Liverpool FC Montevideo,2019,Uruguay,8.43,0.22783783783783784,24.2,37,2,447.0,Fase 1,Fase 2
Águilas Doradas,2019,Colombia,23.23,0.4646,25.5,50,4,849.0,Fase 1,Fase 2
Club Sol de América,2019,Paraguay,2.3,0.06216216216216216,24.5,37,7,755.5,Fase 1,Fase 2
Club Sporting Cristal,2019,Perú,11.43,0.28575,22.1,40,5,383.0,Fase 2,Octavos de Final
Club Deportivo Guabirá,2019,Bolivia,1.85,0.07115384615384615,24.1,26,6,433.0,Fase 1,Fase 1
Royal Pari Fútbol Club,2019,Bolivia,2.2,0.07857142857142858,26.4,28,6,433.0,Fase 1,Octavos de Final
FBC Melgar,2019,Perú,12.63,0.3323684210526316,23.2,38,6,383.0,Fase 2,Fase 2
Club Deportivo Oriente Petrolero,2019,Bolivia,2.45,0.12250000000000001,25.0,20,5,433.0,Fase 1,Fase 1
CD Macará,2019,Ecuador,11.6,0.29743589743589743,24.2,39,5,686.0,Fase 1,Fase 2
Deportivo Municipal,2019,Perú,6.53,0.2106451612903226,22.5,31,5,383.0,Fase 1,Fase 1
Montevideo Wanderers,2019,Uruguay,8.45,0.22837837837837835,22.9,37,2,447.0,Fase 1,Octavos de Final
Sport Huancayo,2019,Perú,5.63,0.1759375,27.0,32,5,383.0,Fase 1,Fase 1
